-----------------------
Number of nodes: 128
Uniform Partition
1 -2.00909 2 -26.8383
0.968752 -1.96607 0.732051 7.1913
0.938 -1.93766 1.0718 -1.92689
0.907744 -1.90534 0.980763 0.516316
0.877984 -1.87406 1.00516 -0.138341
0.84872 -1.84251 0.99862 0.0370721
0.819952 -1.81103 1.00037 -0.00993002
0.79168 -1.77953 0.999902 0.00266272
0.763904 -1.74803 1.00003 -0.00071178
0.736623 -1.71654 0.999995 0.00019154
0.709839 -1.68504 1 -5.06548e-05
0.683551 -1.65354 1 1.3838e-05
0.657759 -1.62205 1 -3.50225e-06
0.632463 -1.59055 1 1.00295e-06
0.607663 -1.55906 1 -2.21192e-07
0.583359 -1.52756 1 7.03804e-08
0.559551 -1.49606 1 -1.10644e-08
0.536239 -1.46457 1 4.15809e-09
0.513423 -1.43307 1 -3.05365e-10
0.491103 -1.40157 1 1.42606e-10
0.469279 -1.37008 1 3.44036e-12
0.447951 -1.33858 1 -2.20897e-13
0.427119 -1.30709 1 -7.04522e-12
0.406783 -1.27559 1 1.00532e-11
0.386943 -1.24409 1 -5.41434e-12
0.367599 -1.2126 1 -2.71657e-12
0.348751 -1.1811 1 6.88072e-12
0.330399 -1.14961 1 -6.01593e-12
0.312543 -1.11811 1 8.6761e-12
0.295183 -1.08661 1 -1.30188e-11
0.278319 -1.05512 1 1.02647e-11
0.261951 -1.02362 1 -4.30985e-12
0.246078 -0.992126 1 7.19091e-13
0.230702 -0.96063 1 9.77588e-13
0.215822 -0.929134 1 -5.92193e-13
0.201438 -0.897638 1 -3.90095e-13
0.18755 -0.866142 1 -1.03399e-13
0.174158 -0.834646 1 2.14317e-12
0.161262 -0.80315 1 -4.88324e-12
0.148862 -0.771654 1 5.30624e-12
0.136958 -0.740158 1 -2.01628e-12
0.12555 -0.708661 1 -1.26898e-12
0.114638 -0.677165 1 1.26898e-12
0.104222 -0.645669 1 6.72092e-13
0.0943022 -0.614173 1 -2.16667e-12
0.0848782 -0.582677 1 2.63197e-12
0.0759502 -0.551181 1 -2.10557e-12
0.0675181 -0.519685 1 1.30658e-12
0.0595821 -0.488189 1 -1.09979e-12
0.0521421 -0.456693 1 1.08099e-12
0.0451981 -0.425197 1 -9.82288e-13
0.0387501 -0.393701 1 1.06219e-12
0.0327981 -0.362205 1 -1.03399e-12
0.0273421 -0.330709 1 8.3659e-13
0.022382 -0.299213 1 -7.51991e-13
0.017918 -0.267717 1 6.20393e-13
0.01395 -0.23622 1 -2.91397e-13
0.010478 -0.204724 1 -4.69994e-15
0.00750202 -0.173228 1 9.39989e-14
0.00502201 -0.141732 1 -3.28996e-14
0.00303801 -0.110236 1 -2.81997e-14
0.00155 -0.0787402 1 2.34997e-14
0.000558001 -0.0472441 1 -4.69994e-15
6.20001e-05 -0.0157481 1 4.69994e-15
6.20001e-05 0.015748 1 -9.39989e-15
0.000558001 0.0472441 1 2.81997e-14
0.00155 0.0787401 1 -5.63993e-14
0.00303801 0.110236 1 8.4599e-14
0.00502201 0.141732 1 -1.08099e-13
0.00750202 0.173228 1 1.40998e-14
0.010478 0.204724 1 2.63197e-13
0.01395 0.23622 1 -5.21694e-13
0.017918 0.267717 1 3.71296e-13
0.022382 0.299213 1 3.90095e-13
0.0273421 0.330709 1 -1.26428e-12
0.0327981 0.362205 1 1.31128e-12
0.0387501 0.393701 1 -4.04195e-13
0.0451981 0.425197 1 -5.78093e-13
0.0521421 0.456693 1 9.30589e-13
0.0595821 0.488189 1 -1.13739e-12
0.0675181 0.519685 1 1.60268e-12
0.0759502 0.551181 1 -1.69198e-12
0.0848782 0.582677 1 1.57918e-12
0.0943022 0.614173 1 -1.01989e-12
0.104222 0.645669 1 -6.57992e-13
0.114638 0.677165 1 9.68188e-13
0.12555 0.708661 1 2.16197e-12
0.136958 0.740157 1 -5.57883e-12
0.148862 0.771654 1 5.83263e-12
0.161262 0.80315 1 -3.42156e-12
0.174158 0.834646 1 6.72092e-13
0.18755 0.866142 1 -6.10993e-13
0.201438 0.897638 1 2.66017e-12
0.215822 0.929134 1 -2.39697e-12
0.230702 0.96063 1 -2.49097e-13
0.246078 0.992126 1 3.83985e-12
0.261951 1.02362 1 -8.8218e-12
0.278319 1.05512 1 1.08522e-11
0.295183 1.08661 1 -6.84312e-12
0.312543 1.11811 1 3.09256e-12
0.330399 1.14961 1 -2.84347e-12
0.348751 1.1811 1 2.06798e-13
0.367599 1.2126 1 6.50942e-12
0.386943 1.24409 1 -1.19191e-11
0.406783 1.27559 1 1.33995e-11
0.427119 1.30709 1 -1.39118e-11
0.447951 1.33858 1 1.44758e-11
0.469279 1.37008 1 -1.56701e-10
0.491103 1.40157 1 3.12946e-10
0.513423 1.43307 1 -4.16088e-09
0.536239 1.46457 1 1.10648e-08
0.559551 1.49606 1 -7.03793e-08
0.583359 1.52756 1 2.21187e-07
0.607663 1.55906 1 -1.00295e-06
0.632463 1.59055 1 3.50226e-06
0.657759 1.62205 1 -1.3838e-05
0.683551 1.65354 1 5.06549e-05
0.709839 1.68504 1 -0.00019154
0.736623 1.71654 0.999995 0.00071178
0.763904 1.74803 1.00003 -0.00266272
0.79168 1.77953 0.999902 0.00993002
0.819952 1.81103 1.00037 -0.0370721
0.84872 1.84251 0.99862 0.138341
0.877984 1.87406 1.00516 -0.516316
0.907744 1.90534 0.980763 1.92689
0.938 1.93766 1.0718 -7.1913
0.968752 1.96607 0.732051 26.8383
Elapsed time: 0.0076957s
